Name,Compare,Data,Explanatory,ItemCode
IIS Admin Service,!=,Running,IIS Service 구동,IIS-01
IISlnk,==,0,IIS 링크 사용금지,IIS-04
EveryoneAcl,==,0,IIS 데이터 파일 ACL,IIS-08
DirBrowse,==,0,IIS 디렉토리 리스팅 제거,IIS-12
AspEnableParentPaths,==,0,IIS 상위 디렉토리 접근 금지,IIS-13
